Stephen Reichenbach
Sharad Seth
Richard Sincovec
Alvin Surkan
Charles Riedesel
Marilyn Augustyn
Scott Chaffin
Charles Daniel
Jacob Hogberg
Jenna Huttenmaier
Ann Koopmann
Melanie Kugler-Wright
LaRita Lang
Patricia Lena
Jarrett Ramsey
Joyce Young
George Amariucai
Torben Amtoft
Cornelia Caragea
John Hatcliff
Rodney Howell
John Keller
Masaaki Mizuno
Arslan Munir
Lior Shamir
Jorge Valenzuela
Vineet Bafna
Mai ElSherief
William G. Griswold
Russell Impagliazzo
Alex Orailoglu
Joseph Pasquale
Joe Gibbs Politz
Shankar Subramaniam
Alexander Vardy
Daniel M. Kane
Qi (Rose) Yu
Stanley Bak
Barbara Chapman
Rezaul Chowdhury
Ahmad Esmaili
Michael Ferdman
Pramod Ganapathi
Himanshu Gupta
Shubham Jain
Christopher Kane
Arie Kaufman
Robert F. Kelly
Dominik Kempa
Michael Kifer
Dongyoon Lee
Y. Annie Liu
Richard McKenna
Shuai Mu
Klaus Mueller
Omkant Pandey
Supartha Podder
Hong Qin
Amir Rahmati
C.R. Ramakrishnan
I.V. Ramakrishnan
Michael Ryoo
Tony Scarlatos
R. Sekar
Radu Sion
Steven Skiena
Scott Smolka
Yifan Sun
Allen Tannenbaum
Michael Tashbook
Praveen Tripathi
Anita Wasilewska
Zhaozheng Yin
Erez Zadok
Esther Arkin
Chao Chen
Sangjin Hong
Xiangmin Jiao
Tahsin M. Kurc
Shan Lin
Christian Luhmann
Joseph S.B. Mitchell
Romeil Singh Sandhu
Lori Scarlatos
Xin Wang
Yuanyuan Yang
Peng Zhang
Rong Zhao
Wei Zhu
Jing Chen
Radu Grosu
Rob Johnson
Byungkon Kang
YoungMin Kwon
Arthur Lee
Francesco Orabona
Seung Soo Park
Martin Radfar
Adam C. Siepel
Alexander Spirov
Tuncay Tekle
Wei Xu
Hussein Badr
Arthur Bernstein
David Ferguson
Herbert Gelernter
Susan Brennan
Jack Heller
Ker-I Ko
Philip Lewis
Theo Pavlidis
David Smith
David Warren
Larry Wittie
Janaka Balasooriya
Tiffany Bao
Chitta Baral
Robert Barnhill
Heni Ben Amor
Dimitri Bertsekas
Vernon Blackledge
Eduardo Blanco
Chris Bryan
Kevin Burger
Yinong Chen
Charles Colbourn
James Collofello
Jedidiah Crandall
Partha Dasgupta
Hasan Davulcu
Yuli Deng
Xuerong Feng
Stephanie Forrest
Aytekin Gel
Sandeep Gupta
Zilin Jiang
Michel A. Kinsy
Yoshihiro Kobayashi
Joohyung Lee
Kookjin Lee
Yann-Hang Lee
William Lewis
Phillip Miller
Mutsumi Nakamura
Gregory Nielson
Andrea Richa
Hessam Sarjoughian
Justin Selgrad
Arunabha Sen
Paulo Shakarian
Yan Shoshitaishvili
Siddharth Srivastava
Violet Syrotiuk
Farideh Tadayon-Navabi
Ni Trieu
Wei-Tek Tsai
Kurt VanLehn
Sarma Vrudhula
Ruoyu Wang
Marvin Woodfill
Guoliang Xue
Yingzhen Yang
Yu Zhang
Gail-Joon Ahn
Jeffrey Goss
Name
Daniel Aliaga
Walid Aref
Mikhail Atallah
Elisa Bertino
Bharat Bhargava
Simina Branzei
Douglas Comer
Benjamin Delaware
Tamal Dey
Petros Drineas
Buster Dunsmore
Sonia Fahmy
Pedro Fonseca
David Gleich
Ananth Grama
Elena Grigorescu
Steve Hanneke
Jean Honorio
Suresh Jagannathan
Changhee Jung
Majid Kazemian
Rajiv Khanna
Pan Li
Zhiyuan Li
Hemanta Maji
Hatef Monajemi
Kihong Park
Chunyi Peng
Voicu Popescu
Alex Pothen
Sunil Prabhakar
Alex Psomas
Kent Quanrud
Vernon Rego
Bruno Ribeiro
Elisha Sacks
Roopsha Samanta
Muhammad Shahbaz
Eugene Spafford
Wojciech Szpankowski
Lin Tan
Dave Tian
Yexiang Xue
Ming Yin
