school,ranking,indegree,outdegree,in_to_out_ratio
"University of Oldenburg",544,0.00,0.00,0.00
"Technical University of Berlin",545,0.00,1.00,0.00
"FH Aachen",546,0.00,0.00,0.00
"University of Auckland",547,0.00,0.00,0.00
"Seaholm High School",548,0.00,0.00,0.00
"University of Ioannina",549,0.00,0.00,0.00
"Duquesne University",550,0.00,1.00,0.00
"Bronx High School of Science",551,0.00,0.00,0.00
"National Institute of Technology Karnataka",552,0.00,0.00,0.00
"University of Adelaide",553,0.00,0.00,0.00
"Watchung Hills Regional High School",554,0.00,0.00,0.00
"United States Air Force Academy",555,0.00,2.00,0.00
"List of universities in Austria",556,0.00,0.00,0.00
"Ghent University",557,0.00,0.00,0.00
"Bursa Technical University",558,0.00,0.00,0.00
"Cooper Union",559,0.00,0.00,0.00
"IIT (BHU) Varanasi",560,0.00,0.00,0.00
"Savitribai Phule Pune University",561,0.00,0.00,0.00
"University of Isfahan",562,0.00,0.00,0.00
"Tarbiat Modares University",563,0.00,0.00,0.00
"Western Illinois University",564,0.00,0.00,0.00
"Nanjing University",565,0.00,1.00,0.00
"EOI Business School",566,0.00,0.00,0.00
"University of Deusto",567,0.00,1.00,0.00
"California Polytechnic State University, San Luis Obispo",568,0.00,0.00,0.00
"Saratoga High School (California)",569,0.00,0.00,0.00
"Hefei University",570,0.00,0.00,0.00
"University of Cape Town",571,0.00,0.00,0.00
"American University of Beirut",572,0.00,1.00,0.00
"California State University, Dominguez Hills",573,0.00,0.00,0.00
"Politehnica University of Bucharest",574,0.00,1.00,0.00
"École des ponts ParisTech",575,0.00,2.00,0.00
"Technical University of Madrid",576,0.00,1.00,0.00
