last_work,next_work,weight
Stanford University,Duke University,3
Stanford University,Brandeis University,1
Stanford University,Princeton University,5
Stanford University,Vanderbilt University,2
Stanford University,Brown University,3
Stanford University,University of Illinois Urbana-Champaign,1
Stanford University,Delft University of Technology,1
Stanford University,University of Washington,3
Stanford University,University of Arizona,1
Stanford University,"University of California, Santa Barbara",1
Stanford University,University of Illinois Chicago,1
Stanford University,Southeast University,1
Stanford University,Stony Brook University,1
Stanford University,Arizona State University,1
Stanford University,Princess Sumaya University for Technology,1
Stanford University,University of North Carolina at Chapel Hill,1
Stanford University,University College London,1
Stanford University,University of Virginia,1
Stanford University,"University of Maryland, Baltimore County",1
Stanford University,"University of California, Irvine",1
Stanford University,Salus University,1
California Institute of Technology,Northeastern University,1
California Institute of Technology,Cornell University,1
California Institute of Technology,California Institute of Technology,4
California Institute of Technology,"University of California, Berkeley",2
California Institute of Technology,Carnegie Mellon University,1
California Institute of Technology,Columbia University,1
California Institute of Technology,University of Chicago,1
California Institute of Technology,Vanderbilt University,1
California Institute of Technology,McGill University,1
California Institute of Technology,University of Virginia,1
California Institute of Technology,Washington University in St. Louis,1
California Institute of Technology,"University of California, Irvine",1
California Institute of Technology,Princeton University,2
California Institute of Technology,Texas A&M University,1
California Institute of Technology,List of aerospace engineering schools,1
California Institute of Technology,Rensselaer Polytechnic Institute,1
California Institute of Technology,Brown University,2
California Institute of Technology,Stony Brook University,1
California Institute of Technology,Purdue University,1
California Institute of Technology,"University of California, Davis",1
California Institute of Technology,Drexel University,1
California Institute of Technology,University of Southern California,1
California Institute of Technology,Michigan State University,1
California Institute of Technology,Eastern Michigan University,1
California Institute of Technology,University of Waterloo,1
California Institute of Technology,University of Copenhagen,1
California Institute of Technology,Harvard University,1
California Institute of Technology,National University of Singapore,1
Northeastern University,"University of California, San Diego",1
Northeastern University,"University of California, Los Angeles",1
Northeastern University,University at Buffalo,2
Northeastern University,University of Central Florida,1
Northeastern University,Columbia University,1
Northeastern University,University of Chicago,1
Northeastern University,University of Colorado Boulder,1
Northeastern University,Drexel University,1
Northeastern University,Tufts University,1
Northeastern University,Brandeis University,1
Northeastern University,New York University,1
Northeastern University,Purdue University,1
Northeastern University,Boston University,1
Northeastern University,University of Texas at Arlington,1
Northeastern University,University of Connecticut,1
Northeastern University,Rensselaer Polytechnic Institute,1
Northeastern University,Florida International University,1
Old Dominion University,Stony Brook University,1
Old Dominion University,West Virginia University,1
Old Dominion University,North Carolina State University,1
University of Warwick,"University of California, Berkeley",1
University of Warwick,University of Oxford,1
University of Warwick,University of Nebraska–Lincoln,1
"University of California, Berkeley",Johns Hopkins University,2
"University of California, Berkeley",Arizona State University,1
"University of California, Berkeley",Stanford University,10
"University of California, Berkeley",Carnegie Mellon University,5
"University of California, Berkeley","University of California, Riverside",1
"University of California, Berkeley",Cornell University,7
"University of California, Berkeley",New York University,5
"University of California, Berkeley",Boston University,4
"University of California, Berkeley",Harvard University,3
"University of California, Berkeley",Yale University,2
"University of California, Berkeley","University of Maryland, College Park",2
"University of California, Berkeley",McGill University,1
"University of California, Berkeley",University of Texas at Austin,3
"University of California, Berkeley",Tufts University,1
"University of California, Berkeley","University of California, Berkeley",9
"University of California, Berkeley",University of Chicago,1
"University of California, Berkeley",Marian University (Indiana),1
"University of California, Berkeley",Sharif University of Technology,1
"University of California, Berkeley",University,3
"University of California, Berkeley",University of California,2
"University of California, Berkeley",University of Advancing Technology,1
"University of California, Berkeley",New College of Florida,1
"University of California, Berkeley",Capital University,1
"University of California, Berkeley",London School of Economics,1
"University of California, Berkeley",Massachusetts Institute of Technology,11
"University of California, Berkeley",University of Pennsylvania,1
"University of California, Berkeley",Northwestern University,1
"University of California, Berkeley",Duke University,2
"University of California, Berkeley",University of Illinois Urbana-Champaign,2
"University of California, Berkeley",Harvey Mudd College,1
