last_edu,next_edu,weight
University of Tennessee,University of Erlangen–Nuremberg,1
University of Tennessee,University of Illinois Urbana-Champaign,1
University of Wisconsin–Madison,Georgia Tech,1
University of Wisconsin–Madison,Duquesne University,1
University of Wisconsin–Madison,Wang Institute of Graduate Studies,1
University of Wisconsin–Madison,"University of California, Berkeley",1
University of Wisconsin–Madison,University of North Carolina at Chapel Hill,1
University of Wisconsin–Madison,Duke University,1
University of Wisconsin–Madison,University of Wisconsin–Madison,3
University of Wisconsin–Madison,Truman State University,1
University of Wisconsin–Madison,University of Louisville,1
University of Wisconsin–Madison,University of Chicago,2
University of Wisconsin–Madison,IIT Bombay,1
University of Wisconsin–Madison,Tufts University,1
University of Burgundy,Staffordshire University,1
Simon Fraser University,University of Burgundy,1
Peking University,Peking University,1
Peking University,Wuhan University,1
University of Rochester,Calvin University,1
École Polytechnique Fédérale de Lausanne,Saarland University,1
École Polytechnique Fédérale de Lausanne,University of Miami,1
École Polytechnique Fédérale de Lausanne,University of Tehran,1
École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,1
École Polytechnique Fédérale de Lausanne,Massachusetts Institute of Technology,1
École Polytechnique Fédérale de Lausanne,École des ponts ParisTech,1
University of Chicago,Tel Aviv University,1
University of Chicago,University of Deusto,1
University of Chicago,"California Polytechnic State University, San Luis Obispo",1
University of Chicago,DePaul University,1
University of Chicago,Yale University,1
University of Chicago,University of Chicago,1
Indian Institute of Science,National Institute of Technology Karnataka,1
Indian Institute of Science,Jadavpur University,1
Indian Institute of Science,"National Institute of Technology, Warangal",1
Indian Institute of Science,Indian Institute of Science,1
Indian Institute of Science,Banaras Hindu University,1
Flinders University,University of Adelaide,1
Middle East Technical University,Middle East Technical University,2
Aalto University,United States Air Force Academy,1
Johannes Kepler University Linz,List of universities in Austria,1
Bilkent University,Bursa Technical University,1
University of Miami,Cooper Union,1
Case Western Reserve University,Rice University,1
ETH Zurich,Technical University of Kaiserslautern,1
ETH Zurich,University of Kansas,1
ETH Zurich,National University of Singapore,1
ETH Zurich,University of Vienna,1
ETH Zurich,University of Sydney,1
Technical University of Kaiserslautern,ETH Zurich,1
Wang Institute of Graduate Studies,University of Massachusetts Amherst,1
Victoria University of Wellington,Victoria University of Wellington,2
EOI Business School,Charles III University of Madrid,1
University of Science and Technology of China,Hefei Normal University,1
University of Science and Technology of China,Jilin University,1
University of Cape Town,University of Cape Town,1
University of Kansas,University of Science and Technology of China,1
Free University of Berlin,Ulrich von Hutten,1
Free University of Berlin,Free University of Berlin,1
University of Oxford,Cornell University,1
University of Oxford,Michigan State University,1
University of Oxford,McGill University,1
University of Oxford,Duke University,1
University of Oxford,Harvard University,1
University of Oxford,University of the Witwatersrand,1
University of Oxford,Princeton University,1
Washington University in St. Louis,California Institute of Technology,1
Washington University in St. Louis,Arizona State University,1
Stanford Graduate School of Business,Stanford University,1
"University of California, Irvine","University of California, Irvine",2
"University of California, Irvine",United States Naval Academy,1
University of Waterloo,University of Waterloo,1
University of Waterloo,Tsinghua University,1
University of Edinburgh,Stanford University,2
